Key,region_name,Station,lon,lat,Date,STN_TIME,Twilight,Net_Type,Mesh_Size(um),Net_Mouth_Dia(m),DEPTH_STRT,DEPTH_END,Bottom Depth(m),Volume Filtered(m3),CTD,NOTES,Sample_ID,Kingdom,Phylum,Class,Order,Family,Genus,Tax1,Tax2,Tax3,Tax4,Abundance,Bodymass,Biomass,Name
HAK2017097000101,Northern Strait of Georgia,QU39,-125.099,50.031,2017-01-05,11:30:00,Daylight,Bongo VNH,250,0.5,235,0,265,43.67,NA,QPK967,HAK2017097000101,Anim,Anne,Poly,,NA,Polychaeta,*sp.,trochophores,s1,NA,NA,0.01100771236574366,NA,Polychaeta *sp. trochophores s1
HAK2017097000101,Northern Strait of Georgia,QU39,-125.099,50.031,2017-01-05,11:30:00,Daylight,Bongo VNH,250,0.5,235,0,265,43.67,NA,QPK967,HAK2017097000101,Anim,Anne,Poly,Acic,Alciopidae,Rhynchonereella,angelina,,s3,NA,0.0229,9.498783698634478,0.21752214669872955,Rhynchonereella angelina  s3
HAK2017097000101,Northern Strait of Georgia,QU39,-125.099,50.031,2017-01-05,11:30:00,Daylight,Bongo VNH,250,0.5,235,0,265,43.67,NA,QPK967,HAK2017097000101,Anim,Anne,Poly,Acic,Lopadorhynchidae,Pelagobia,longicirrata,,s1,NA,NA,0.03499999133658042,NA,Pelagobia longicirrata  s1
HAK2017097000101,Northern Strait of Georgia,QU39,-125.099,50.031,2017-01-05,11:30:00,Daylight,Bongo VNH,250,0.5,235,0,265,43.67,NA,QPK967,HAK2017097000101,Anim,Anne,Poly,Acic,Phyllodocidae,Phalacrophorus,pictus,,s1,NA,NA,0.03400024700748633,NA,Phalacrophorus pictus  s1
HAK2017097000101,Northern Strait of Georgia,QU39,-125.099,50.031,2017-01-05,11:30:00,Daylight,Bongo VNH,250,0.5,235,0,265,43.67,NA,QPK967,HAK2017097000101,Anim,Anne,Poly,Acic,Phyllodocidae,Phalacrophorus,pictus,,s2,NA,NA,0.7399321266968325,NA,Phalacrophorus pictus  s2
HAK2017097000101,Northern Strait of Georgia,QU39,-125.099,50.031,2017-01-05,11:30:00,Daylight,Bongo VNH,250,0.5,235,0,265,43.67,NA,QPK967,HAK2017097000101,Anim,Anne,Poly,Acic,Phyllodocidae,Phyllodoce,*sp.,larvae,s1,NA,NA,0.03399354709233216,NA,Phyllodoce *sp. larvae s1
HAK2017097000101,Northern Strait of Georgia,QU39,-125.099,50.031,2017-01-05,11:30:00,Daylight,Bongo VNH,250,0.5,235,0,265,43.67,NA,QPK967,HAK2017097000101,Anim,Anne,Poly,Acic,Polynoidae,Polynoidae,*sp.,larvae,s1,NA,NA,0.08000031897124717,NA,Polynoidae *sp. larvae s1
HAK2017097000101,Northern Strait of Georgia,QU39,-125.099,50.031,2017-01-05,11:30:00,Daylight,Bongo VNH,250,0.5,235,0,265,43.67,NA,QPK967,HAK2017097000101,Anim,Anne,Poly,Acic,Syllidae,Syllidae,*sp.,,s2,NA,NA,1.0799757468161801,NA,Syllidae *sp.  s2
HAK2017097000101,Northern Strait of Georgia,QU39,-125.099,50.031,2017-01-05,11:30:00,Daylight,Bongo VNH,250,0.5,235,0,265,43.67,NA,QPK967,HAK2017097000101,Anim,Anne,Poly,Acic,Tomopteridae,Tomopteris,*sp.,,s1,NA,NA,0.04299885061242722,NA,Tomopteris *sp.  s1
HAK2017097000101,Northern Strait of Georgia,QU39,-125.099,50.031,2017-01-05,11:30:00,Daylight,Bongo VNH,250,0.5,235,0,265,43.67,NA,QPK967,HAK2017097000101,Anim,Anne,Poly,Acic,Tomopteridae,Tomopteris,pacifica,,s1,NA,NA,0.042871900826446284,NA,Tomopteris pacifica  s1
